seq	term
c471591_g1	"Signal transduction mechanisms"
c460780_g1	"Amino acid transport and metabolism"
c481292_g2	"Lipid transport and metabolism"
c472465_g2	"Transcription"
c476200_g1	"Cell cycle control, cell division, chromosome partitioning"
c472223_g2	"Replication, recombination and repair"
c479211_g1	"Cell cycle control, cell division, chromosome partitioning"
c463668_g1	"Posttranslational modification, protein turnover, chaperones"
c468720_g5	"Replication, recombination and repair"
c472786_g1	"Signal transduction mechanisms"
c457053_g1	"Intracellular trafficking, secretion, and vesicular transport"
c467032_g1	"NA"
c465998_g1	"Transcription"
c468994_g1	"Signal transduction mechanisms"
c470684_g1	"Cell cycle control, cell division, chromosome partitioning"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c463490_g2	"Signal transduction mechanisms"
c457098_g2	"NA"
c463145_g1	"Posttranslational modification, protein turnover, chaperones"
c479313_g1	"Lipid transport and metabolism"
c467057_g1	"Signal transduction mechanisms"
c479099_g5	"Energy production and conversion"
c456567_g1	"Nucleotide transport and metabolism"
c446265_g1	"Posttranslational modification, protein turnover, chaperones"
c472770_g1	"Signal transduction mechanisms"
c441493_g1	"Transcription"
c468145_g7	"Posttranslational modification, protein turnover, chaperones"
c406308_g1	"Signal transduction mechanisms"
c414136_g1	"Signal transduction mechanisms"
c479751_g1	"Signal transduction mechanisms"
c478519_g2	"Amino acid transport and metabolism"
c431426_g1	"Posttranslational modification, protein turnover, chaperones"
c467974_g1	"Cell wall/membrane/envelope biogenesis"
c480299_g1	"Energy production and conversion"
c406958_g1	"Replication, recombination and repair"
c480228_g5	"Transcription"
c472474_g1	"Chromatin structure and dynamics"
c463834_g1	"Signal transduction mechanisms"
c361148_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c460874_g1	"NA"
c469188_g1	"Cell cycle control, cell division, chromosome partitioning"
c469001_g1	"NA"
c475200_g5	"Signal transduction mechanisms"
c479507_g3	"NA"
c433817_g1	"Cytoskeleton"
c479313_g3	"Lipid transport and metabolism"
c468032_g7	"Replication, recombination and repair"
c454463_g1	"Signal transduction mechanisms"
c445618_g1	"RNA processing and modification"
c455032_g1	"Signal transduction mechanisms"
c370663_g1	"Signal transduction mechanisms"
c480119_g3	"Amino acid transport and metabolism"
c465213_g1	"Signal transduction mechanisms"
c473621_g5	"Cell wall/membrane/envelope biogenesis"
c462885_g1	"Translation, ribosomal structure and biogenesis"
c456601_g1	"Energy production and conversion"
c478446_g1	"Transcription"
c471647_g1	"Posttranslational modification, protein turnover, chaperones"
c466058_g5	"Cell cycle control, cell division, chromosome partitioning"
c458026_g2	"Posttranslational modification, protein turnover, chaperones"
c479092_g2	"Intracellular trafficking, secretion, and vesicular transport"
c478915_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c471412_g5	"Lipid transport and metabolism"
c434272_g1	"Inorganic ion transport and metabolism"
c476553_g4	"Energy production and conversion"
c67067_g1	"Replication, recombination and repair"
c459790_g1	"Amino acid transport and metabolism"
c437989_g1	"Defense mechanisms"
c473979_g2	"Posttranslational modification, protein turnover, chaperones"
c473755_g2	"Intracellular trafficking, secretion, and vesicular transport"
c466823_g1	"Translation, ribosomal structure and biogenesis"
c465938_g1	"Transcription"
c476419_g5	"Replication, recombination and repair"
c480894_g1	"Inorganic ion transport and metabolism"
c465511_g1	"Lipid transport and metabolism"
c459698_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c479641_g2	"Amino acid transport and metabolism"
c476505_g1	"Posttranslational modification, protein turnover, chaperones"
c475531_g2	"Signal transduction mechanisms"
c472466_g1	"RNA processing and modification"
c464301_g1	"Amino acid transport and metabolism"
c464711_g2	"Cell cycle control, cell division, chromosome partitioning"
c480150_g1	"Energy production and conversion"
c459296_g1	"Intracellular trafficking, secretion, and vesicular transport"
c436484_g1	"Transcription"
c468331_g2	"Replication, recombination and repair"
c475078_g1	"Lipid transport and metabolism"
c470967_g1	"Replication, recombination and repair"
c458276_g1	"Defense mechanisms"
c477210_g2	"Amino acid transport and metabolism"
c422048_g1	"Transcription"
c481322_g1	"Energy production and conversion"
c455605_g1	"Replication, recombination and repair"
c461764_g1	"Signal transduction mechanisms"
c443456_g1	"Transcription"
c461764_g1	"Signal transduction mechanisms"
c476298_g4	"Transcription"
c476791_g3	"Replication, recombination and repair"
c480558_g1	"Intracellular trafficking, secretion, and vesicular transport"
c475708_g2	"NA"
c477332_g1	"Intracellular trafficking, secretion, and vesicular transport"
c471724_g1	"Chromatin structure and dynamics"
c472024_g1	"RNA processing and modification"
c417032_g1	"Energy production and conversion"
c469890_g1	"RNA processing and modification"
c478305_g1	"Chromatin structure and dynamics"
c465154_g1	"Signal transduction mechanisms"
c462203_g15	"Amino acid transport and metabolism"
c474969_g1	"Energy production and conversion"
c469511_g1	"Cytoskeleton"
c474600_g1	"NA"
c482075_g1	"Signal transduction mechanisms"
c478022_g1	"Cytoskeleton"
c332228_g1	"NA"
c448858_g1	"Posttranslational modification, protein turnover, chaperones"
c480851_g4	"Lipid transport and metabolism"
c451790_g1	"Nucleotide transport and metabolism"
c477113_g1	"Carbohydrate transport and metabolism"
c119379_g1	"Nucleotide transport and metabolism"
c423444_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c442905_g1	"Inorganic ion transport and metabolism"
c460455_g1	"Transcription"
c473862_g1	"Posttranslational modification, protein turnover, chaperones"
c435478_g1	"Replication, recombination and repair"
c207970_g1	"Translation, ribosomal structure and biogenesis"
c460623_g1	"Carbohydrate transport and metabolism"
c474250_g2	"Lipid transport and metabolism"
c471419_g8	"NA"
c475100_g1	"Energy production and conversion"
c431346_g3	"NA"
c476504_g1	"Posttranslational modification, protein turnover, chaperones"
c469753_g2	"Transcription"
c419464_g1	"Signal transduction mechanisms"
c467508_g1	"Carbohydrate transport and metabolism"
c480852_g1	"Extracellular structures"
c469341_g3	"Replication, recombination and repair"
c474312_g1	"Amino acid transport and metabolism"
c478453_g1	"Cell cycle control, cell division, chromosome partitioning"
c457689_g1	"Cell wall/membrane/envelope biogenesis"
c477676_g2	"Signal transduction mechanisms"
c471045_g5	"Secondary metabolites biosynthesis, transport and catabolism"
c472452_g2	"Signal transduction mechanisms"
c458172_g1	"Lipid transport and metabolism"
c465886_g8	"Nucleotide transport and metabolism"
c448736_g1	"RNA processing and modification"
c462037_g14	"NA"
c444623_g1	"Amino acid transport and metabolism"
c473122_g4	"Carbohydrate transport and metabolism"
c447598_g1	"Transcription"
c473718_g7	"Replication, recombination and repair"
c476546_g4	"Lipid transport and metabolism"
c447921_g1	"Signal transduction mechanisms"
c480247_g1	"Signal transduction mechanisms"
c468666_g3	"NA"
c472353_g7	"Cytoskeleton"
c466716_g1	"Intracellular trafficking, secretion, and vesicular transport"
c452175_g5	"NA"
c462285_g1	"Transcription"
c473010_g1	"Replication, recombination and repair"
c430796_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c481359_g1	"Replication, recombination and repair"
c464430_g3	"Transcription"
c465846_g1	"NA"
c453130_g2	"Signal transduction mechanisms"
c475306_g2	"Transcription"
c480150_g1	"Energy production and conversion"
c436603_g1	"Cytoskeleton"
c479798_g2	"Intracellular trafficking, secretion, and vesicular transport"
c443043_g1	"Posttranslational modification, protein turnover, chaperones"
c470245_g1	"Defense mechanisms"
c373295_g1	"Transcription"
c425780_g1	"Cell cycle control, cell division, chromosome partitioning"
c468015_g5	"Nucleotide transport and metabolism"
c466739_g1	"Amino acid transport and metabolism"
c428320_g1	"Translation, ribosomal structure and biogenesis"
c413762_g1	"Chromatin structure and dynamics"
c456510_g1	"Intracellular trafficking, secretion, and vesicular transport"
c472339_g3	"RNA processing and modification"
c463915_g2	"Posttranslational modification, protein turnover, chaperones"
c465007_g1	"Signal transduction mechanisms"
c479518_g1	"Extracellular structures"
c430249_g1	"RNA processing and modification"
c462917_g1	"Inorganic ion transport and metabolism"
c479012_g3	"Lipid transport and metabolism"
c458722_g1	"Inorganic ion transport and metabolism"
c473956_g1	"Energy production and conversion"
c478435_g2	"NA"
c455925_g1	"Signal transduction mechanisms"
c433612_g1	"Chromatin structure and dynamics"
c439882_g1	"Posttranslational modification, protein turnover, chaperones"
c445635_g1	"RNA processing and modification"
c461014_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c463992_g1	"Transcription"
c449876_g1	"Nucleotide transport and metabolism"
c459790_g1	"Amino acid transport and metabolism"
c474518_g1	"Carbohydrate transport and metabolism"
c447140_g1	"Transcription"
c476479_g2	"NA"
c471911_g5	"NA"
c405503_g1	"Nucleotide transport and metabolism"
c445551_g1	"Translation, ribosomal structure and biogenesis"
c455039_g1	"Transcription"
c441344_g1	"Transcription"
c448070_g1	"RNA processing and modification"
c472424_g2	"Replication, recombination and repair"
c470984_g2	"Intracellular trafficking, secretion, and vesicular transport"
c428810_g1	"Transcription"
c476427_g6	"RNA processing and modification"
c476738_g1	"Transcription"
c435242_g1	"NA"
c353899_g1	"Posttranslational modification, protein turnover, chaperones"
c468516_g3	"NA"
c476005_g4	"Signal transduction mechanisms"
c462855_g3	"Signal transduction mechanisms"
c469733_g1	"Lipid transport and metabolism"
c477068_g2	"Replication, recombination and repair"
c480684_g3	"Energy production and conversion"
c469259_g2	"NA"
c418425_g1	"Amino acid transport and metabolism"
c467980_g3	"NA"
c443249_g1	"Signal transduction mechanisms"
c471457_g2	"Transcription"
c470589_g9	"Replication, recombination and repair"
c370327_g1	"Nucleotide transport and metabolism"
c435522_g1	"Extracellular structures"
c472749_g1	"Amino acid transport and metabolism"
c457166_g1	"Coenzyme transport and metabolism"
c411055_g1	"Replication, recombination and repair"
c459607_g1	"Replication, recombination and repair"
c481206_g6	"Replication, recombination and repair"
c476339_g1	"Cytoskeleton"
c477763_g1	"Coenzyme transport and metabolism"
c455289_g1	"Replication, recombination and repair"
c463886_g1	"Amino acid transport and metabolism"
c479501_g2	"Signal transduction mechanisms"
c380691_g1	"Signal transduction mechanisms"
c433992_g1	"Chromatin structure and dynamics"
c420176_g1	"NA"
c469199_g1	"Energy production and conversion"
c475839_g1	"Signal transduction mechanisms"
c440905_g1	"RNA processing and modification"
c465448_g2	"NA"
c480549_g2	"Replication, recombination and repair"
c460323_g1	"Signal transduction mechanisms"
c329811_g1	"Replication, recombination and repair"
c473802_g1	"Signal transduction mechanisms"
c467113_g8	"NA"
c480185_g1	"Energy production and conversion"
c476396_g1	"Signal transduction mechanisms"
c473531_g2	"Posttranslational modification, protein turnover, chaperones"
c477765_g2	"Lipid transport and metabolism"
c449497_g3	"Amino acid transport and metabolism"
c476487_g1	"Amino acid transport and metabolism"
c405531_g2	"Cell cycle control, cell division, chromosome partitioning"
c456112_g1	"Carbohydrate transport and metabolism"
c477284_g2	"RNA processing and modification"
c481357_g1	"Posttranslational modification, protein turnover, chaperones"
c466023_g1	"Signal transduction mechanisms"
c480356_g1	"Translation, ribosomal structure and biogenesis"
c467723_g1	"Posttranslational modification, protein turnover, chaperones"
c465768_g1	"RNA processing and modification"
c464842_g1	"Signal transduction mechanisms"
c457758_g1	"Transcription"
c480595_g3	"Replication, recombination and repair"
c478607_g2	"Cell cycle control, cell division, chromosome partitioning"
c467959_g2	"NA"
c442334_g1	"Intracellular trafficking, secretion, and vesicular transport"
c464371_g3	"Lipid transport and metabolism"
c405127_g1	"Lipid transport and metabolism"
c448067_g1	"Energy production and conversion"
c472048_g1	"Inorganic ion transport and metabolism"
c426794_g1	"Transcription"
c469283_g1	"RNA processing and modification"
c475942_g1	"Transcription"
c469054_g1	"Lipid transport and metabolism"
c432594_g1	"Signal transduction mechanisms"
c468380_g2	"Cytoskeleton"
c454585_g1	"Translation, ribosomal structure and biogenesis"
c438767_g1	"Cell cycle control, cell division, chromosome partitioning"
c457055_g1	"RNA processing and modification"
c446429_g1	"RNA processing and modification"
c401759_g1	"Transcription"
c467321_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c428665_g1	"Translation, ribosomal structure and biogenesis"
c410585_g1	"RNA processing and modification"
c446609_g1	"Posttranslational modification, protein turnover, chaperones"
c470196_g2	"RNA processing and modification"
c469809_g3	"Replication, recombination and repair"
c467253_g2	"RNA processing and modification"
c468518_g1	"NA"
c476837_g1	"Replication, recombination and repair"
c468512_g1	"Defense mechanisms"
c468832_g1	"Transcription"
c468977_g2	"Transcription"
c425918_g2	"Transcription"
c478738_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c477725_g1	"Translation, ribosomal structure and biogenesis"
c457817_g1	"Signal transduction mechanisms"
c438727_g1	"Replication, recombination and repair"
c432531_g1	"RNA processing and modification"
c452395_g2	"Posttranslational modification, protein turnover, chaperones"
c465213_g1	"Signal transduction mechanisms"
c476396_g1	"Signal transduction mechanisms"
c403227_g1	"NA"
c435536_g1	"Signal transduction mechanisms"
c463775_g1	"Energy production and conversion"
c437204_g1	"Replication, recombination and repair"
c474291_g1	"NA"
c473247_g4	"Secondary metabolites biosynthesis, transport and catabolism"
c397869_g1	"Replication, recombination and repair"
c477286_g2	"Intracellular trafficking, secretion, and vesicular transport"
c470846_g2	"NA"
c470405_g3	"Signal transduction mechanisms"
c472452_g2	"Signal transduction mechanisms"
c466186_g1	"RNA processing and modification"
c475210_g1	"Transcription"
c375624_g1	"Transcription"
c467910_g1	"Signal transduction mechanisms"
c459736_g1	"Transcription"
c444257_g1	"Lipid transport and metabolism"
c476054_g6	"Lipid transport and metabolism"
c462923_g1	"NA"
c385286_g1	"NA"
c468832_g1	"Transcription"
c421064_g1	"Signal transduction mechanisms"
c457539_g1	"Posttranslational modification, protein turnover, chaperones"
c403390_g1	"Lipid transport and metabolism"
c476118_g1	"Posttranslational modification, protein turnover, chaperones"
c416510_g2	"Signal transduction mechanisms"
c453392_g1	"Posttranslational modification, protein turnover, chaperones"
c909155_g1	"Cytoskeleton"
c376295_g1	"Posttranslational modification, protein turnover, chaperones"
c444548_g1	"Replication, recombination and repair"
c463761_g1	"Transcription"
c459492_g1	"Translation, ribosomal structure and biogenesis"
c480077_g5	"Intracellular trafficking, secretion, and vesicular transport"
c179463_g1	"Intracellular trafficking, secretion, and vesicular transport"
c473619_g1	"Intracellular trafficking, secretion, and vesicular transport"
c463944_g1	"Signal transduction mechanisms"
c391955_g1	"Energy production and conversion"
c479902_g4	"Cell cycle control, cell division, chromosome partitioning"
c478453_g1	"Cell cycle control, cell division, chromosome partitioning"
c461538_g1	"Amino acid transport and metabolism"
c469483_g2	"Translation, ribosomal structure and biogenesis"
c477521_g1	"Transcription"
c409573_g1	"Nuclear structure"
c316568_g1	"Intracellular trafficking, secretion, and vesicular transport"
c454463_g1	"Signal transduction mechanisms"
c474785_g4	"Signal transduction mechanisms"
c444812_g1	"Signal transduction mechanisms"
c470589_g9	"Replication, recombination and repair"
c478460_g1	"NA"
c469271_g1	"Signal transduction mechanisms"
c440321_g1	"NA"
c453130_g2	"Signal transduction mechanisms"
c476522_g2	"Replication, recombination and repair"
c481262_g1	"Translation, ribosomal structure and biogenesis"
c321577_g1	"Replication, recombination and repair"
c472840_g1	"Transcription"
c474954_g1	"Extracellular structures"
c462400_g2	"Replication, recombination and repair"
c431374_g1	"Amino acid transport and metabolism"
c443796_g1	"RNA processing and modification"
c390994_g2	"Nucleotide transport and metabolism"
c404979_g1	"Cell cycle control, cell division, chromosome partitioning"
c478207_g1	"Cytoskeleton"
c461664_g4	"NA"
c481249_g2	"Chromatin structure and dynamics"
c419464_g1	"Signal transduction mechanisms"
c456391_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477791_g1	"Signal transduction mechanisms"
c475975_g1	"Translation, ribosomal structure and biogenesis"
c470159_g3	"Signal transduction mechanisms"
c4422_g1	"Replication, recombination and repair"
c473893_g2	"Coenzyme transport and metabolism"
c452513_g1	"Nucleotide transport and metabolism"
c473107_g1	"Posttranslational modification, protein turnover, chaperones"
c381930_g1	"Signal transduction mechanisms"
c479211_g1	"Cell cycle control, cell division, chromosome partitioning"
c463077_g1	"Replication, recombination and repair"
c461609_g2	"Transcription"
c470131_g1	"Chromatin structure and dynamics"
c447873_g1	"Transcription"
c476822_g1	"Posttranslational modification, protein turnover, chaperones"
c473862_g1	"Posttranslational modification, protein turnover, chaperones"
c452020_g1	"Energy production and conversion"
c449251_g1	"Translation, ribosomal structure and biogenesis"
c459989_g1	"Posttranslational modification, protein turnover, chaperones"
c409966_g1	"Transcription"
c472079_g1	"Carbohydrate transport and metabolism"
c476808_g1	"Posttranslational modification, protein turnover, chaperones"
c476714_g1	"Signal transduction mechanisms"
c478101_g1	"Intracellular trafficking, secretion, and vesicular transport"
c477559_g1	"Cytoskeleton"
c474250_g2	"Lipid transport and metabolism"
c470962_g3	"Intracellular trafficking, secretion, and vesicular transport"
c209833_g1	"NA"
c476663_g1	"Replication, recombination and repair"
c467709_g1	"NA"
c466381_g13	"NA"
c457758_g1	"Transcription"
c478711_g1	"Chromatin structure and dynamics"
c470602_g4	"Lipid transport and metabolism"
c452336_g1	"Amino acid transport and metabolism"
c453607_g1	"RNA processing and modification"
c464238_g1	"Intracellular trafficking, secretion, and vesicular transport"
c436950_g1	"NA"
c448736_g1	"RNA processing and modification"
c472510_g7	"Replication, recombination and repair"
c469676_g1	"RNA processing and modification"
c454831_g1	"Energy production and conversion"
c467641_g1	"Transcription"
c432762_g1	"Replication, recombination and repair"
c458974_g7	"Lipid transport and metabolism"
c463420_g2	"Lipid transport and metabolism"
c473679_g1	"Replication, recombination and repair"
c474766_g1	"Intracellular trafficking, secretion, and vesicular transport"
c421982_g2	"Replication, recombination and repair"
c462352_g2	"Transcription"
c480512_g4	"Signal transduction mechanisms"
c470389_g1	"Replication, recombination and repair"
c231506_g1	"Posttranslational modification, protein turnover, chaperones"
c473852_g15	"NA"
c475105_g2	"Replication, recombination and repair"
c450981_g1	"Energy production and conversion"
c339780_g1	"Signal transduction mechanisms"
c350818_g1	"Lipid transport and metabolism"
c480405_g4	"Replication, recombination and repair"
c478985_g3	"Cell cycle control, cell division, chromosome partitioning"
c465481_g1	"Signal transduction mechanisms"
c480090_g3	"Replication, recombination and repair"
c291314_g1	"Replication, recombination and repair"
c472669_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c477309_g2	"Replication, recombination and repair"
c474375_g1	"Nucleotide transport and metabolism"
c477579_g1	"Inorganic ion transport and metabolism"
c449264_g1	"Carbohydrate transport and metabolism"
c1049655_g1	"Inorganic ion transport and metabolism"
c472340_g3	"Replication, recombination and repair"
c477215_g1	"Transcription"
c476299_g1	"Signal transduction mechanisms"
c480592_g8	"Posttranslational modification, protein turnover, chaperones"
c435377_g1	"Nucleotide transport and metabolism"
c475620_g1	"Posttranslational modification, protein turnover, chaperones"
c471724_g1	"Chromatin structure and dynamics"
c469930_g2	"Posttranslational modification, protein turnover, chaperones"
c460489_g1	"Replication, recombination and repair"
c1046970_g1	"Transcription"
c467732_g4	"NA"
c441890_g1	"Cell cycle control, cell division, chromosome partitioning"
c472661_g1	"Cytoskeleton"
c475260_g2	"Signal transduction mechanisms"
c463775_g1	"Energy production and conversion"
c470364_g1	"Amino acid transport and metabolism"
c477276_g1	"RNA processing and modification"
c469308_g6	"Posttranslational modification, protein turnover, chaperones"
c480758_g1	"Energy production and conversion"
c478643_g1	"Cytoskeleton"
c471066_g5	"NA"
c404512_g1	"RNA processing and modification"
c466869_g2	"Carbohydrate transport and metabolism"
c430945_g1	"Translation, ribosomal structure and biogenesis"
c467508_g1	"Carbohydrate transport and metabolism"
c462792_g1	"Signal transduction mechanisms"
c476448_g2	"Nucleotide transport and metabolism"
c401809_g1	"NA"
c478923_g1	"Amino acid transport and metabolism"
c477405_g12	"NA"
c391933_g1	"Carbohydrate transport and metabolism"
c454840_g1	"Carbohydrate transport and metabolism"
c462395_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c476433_g2	"Transcription"
c431890_g1	"Posttranslational modification, protein turnover, chaperones"
c462379_g2	"Signal transduction mechanisms"
c438959_g1	"Signal transduction mechanisms"
c459805_g1	"Posttranslational modification, protein turnover, chaperones"
c464642_g2	"Posttranslational modification, protein turnover, chaperones"
c359063_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c481160_g1	"Replication, recombination and repair"
c469308_g6	"Posttranslational modification, protein turnover, chaperones"
c475303_g1	"Replication, recombination and repair"
c474781_g5	"Coenzyme transport and metabolism"
c316568_g1	"Intracellular trafficking, secretion, and vesicular transport"
c476532_g3	"Replication, recombination and repair"
c461533_g1	"Signal transduction mechanisms"
c477782_g1	"Transcription"
c468334_g1	"Signal transduction mechanisms"
c454470_g1	"NA"
c454985_g3	"RNA processing and modification"
c461556_g1	"Transcription"
c479807_g1	"Intracellular trafficking, secretion, and vesicular transport"
c470584_g1	"Energy production and conversion"
c470062_g1	"Posttranslational modification, protein turnover, chaperones"
c447999_g1	"Transcription"
c411224_g1	"Transcription"
c469540_g1	"Signal transduction mechanisms"
c474329_g1	"Transcription"
c443603_g1	"Replication, recombination and repair"
c468032_g7	"Replication, recombination and repair"
c379668_g1	"RNA processing and modification"
c480039_g14	"Lipid transport and metabolism"
c418159_g1	"Transcription"
c404488_g1	"NA"
c461478_g1	"Posttranslational modification, protein turnover, chaperones"
c467134_g5	"Signal transduction mechanisms"
c163242_g1	"Replication, recombination and repair"
c480528_g1	"Posttranslational modification, protein turnover, chaperones"
c481015_g2	"Energy production and conversion"
c476969_g7	"NA"
c452502_g1	"NA"
c470571_g1	"Nucleotide transport and metabolism"
c318812_g1	"Signal transduction mechanisms"
c475951_g4	"Replication, recombination and repair"
c467730_g1	"Intracellular trafficking, secretion, and vesicular transport"
c479839_g2	"Lipid transport and metabolism"
c465587_g3	"RNA processing and modification"
c459929_g2	"Replication, recombination and repair"
c480077_g5	"Intracellular trafficking, secretion, and vesicular transport"
c379254_g1	"Lipid transport and metabolism"
c454539_g2	"Carbohydrate transport and metabolism"
c447689_g1	"Signal transduction mechanisms"
c469002_g5	"Signal transduction mechanisms"
c476955_g3	"RNA processing and modification"
c470193_g1	"Replication, recombination and repair"
c463571_g1	"Replication, recombination and repair"
c473531_g1	"Posttranslational modification, protein turnover, chaperones"
c480312_g6	"Transcription"
c476545_g1	"Signal transduction mechanisms"
c424039_g1	"Posttranslational modification, protein turnover, chaperones"
c478097_g1	"Lipid transport and metabolism"
c479554_g4	"NA"
c473850_g2	"NA"
c451705_g1	"Signal transduction mechanisms"
c478313_g2	"Energy production and conversion"
c471029_g1	"Replication, recombination and repair"
c471868_g3	"Transcription"
c444913_g1	"Replication, recombination and repair"
c469271_g1	"Signal transduction mechanisms"
c454189_g1	"Signal transduction mechanisms"
c410710_g2	"Amino acid transport and metabolism"
c381381_g1	"Carbohydrate transport and metabolism"
c470654_g1	"Cell cycle control, cell division, chromosome partitioning"
c436281_g1	"Intracellular trafficking, secretion, and vesicular transport"
c479638_g1	"Signal transduction mechanisms"
c373295_g1	"Transcription"
c403069_g1	"Replication, recombination and repair"
c447140_g1	"Transcription"
c282067_g1	"Carbohydrate transport and metabolism"
c454381_g1	"Cell cycle control, cell division, chromosome partitioning"
c471116_g1	"NA"
c480036_g2	"Posttranslational modification, protein turnover, chaperones"
c407765_g1	"Replication, recombination and repair"
c480815_g1	"Amino acid transport and metabolism"
c417344_g1	"Carbohydrate transport and metabolism"
c471457_g2	"Transcription"
c1195146_g1	"Carbohydrate transport and metabolism"
c470494_g1	"Signal transduction mechanisms"
c465380_g5	"Amino acid transport and metabolism"
c463991_g1	"Nucleotide transport and metabolism"
c479115_g1	"Transcription"
c480568_g2	"Translation, ribosomal structure and biogenesis"
c471868_g3	"Chromatin structure and dynamics"
c457096_g1	"Chromatin structure and dynamics"
c441222_g2	"NA"
c464068_g2	"Transcription"
c410442_g1	"RNA processing and modification"
c474653_g1	"NA"
c464378_g2	"Transcription"
c476298_g4	"Transcription"
c460238_g1	"RNA processing and modification"
c479114_g3	"NA"
c462281_g1	"Energy production and conversion"
c472474_g1	"Chromatin structure and dynamics"
c472708_g1	"Chromatin structure and dynamics"
c477450_g3	"Replication, recombination and repair"
c459237_g1	"Lipid transport and metabolism"
c478450_g7	"Amino acid transport and metabolism"
c480594_g4	"Replication, recombination and repair"
c425162_g1	"NA"
c459720_g1	"Carbohydrate transport and metabolism"
c428448_g1	"RNA processing and modification"
c455726_g2	"Signal transduction mechanisms"
c477398_g1	"Replication, recombination and repair"
c425169_g1	"Secondary metabolites biosynthesis, transport and catabolism"
c473672_g9	"Lipid transport and metabolism"
c385456_g1	"Chromatin structure and dynamics"
c474019_g2	"Signal transduction mechanisms"
c426439_g1	"Translation, ribosomal structure and biogenesis"
c470332_g1	"Carbohydrate transport and metabolism"
c453104_g2	"Inorganic ion transport and metabolism"
c467938_g11	"NA"
c475707_g7	"NA"
c447618_g2	"Lipid transport and metabolism"
c480565_g1	"NA"
c905603_g1	"Replication, recombination and repair"
c448261_g1	"Signal transduction mechanisms"
c458470_g1	"Signal transduction mechanisms"
c470606_g1	"RNA processing and modification"
c460042_g1	"NA"
c451815_g1	"Coenzyme transport and metabolism"
c465768_g1	"RNA processing and modification"
c397757_g1	"Cytoskeleton"
c472091_g5	"Amino acid transport and metabolism"
c448377_g1	"Cell wall/membrane/envelope biogenesis"
c475208_g1	"Signal transduction mechanisms"
c444094_g1	"Transcription"
c404415_g1	"Cell wall/membrane/envelope biogenesis"
c481305_g1	"Replication, recombination and repair"
c448362_g1	"Chromatin structure and dynamics"
c480787_g2	"Translation, ribosomal structure and biogenesis"
c413242_g1	"NA"
c456371_g1	"Signal transduction mechanisms"
c464623_g1	"Replication, recombination and repair"
c414317_g1	"Replication, recombination and repair"
c475368_g1	"NA"
c468566_g1	"Transcription"
