Cellular components term,pval,direction
6/19 nuclear inclusion body,2.05430781,1
12/17 MCM complex,4.950511198,1
47/194 microbody,3.242489637,1
11/27 zymogen granule membrane,2.445760069,0
12/44 nucleoid,2.445760069,1
30/82 presynaptic membrane,7.276759112,0
343/1196 neuron projection,15,0
142/476 cell body,11.75332021,0
15/58 terminal bouton,2.692377248,0
40/134 neuron spine,4.542201914,0
7/33 dendritic shaft,6.005977319,0
52/167 perikaryon,3.09119388,0
127/381 receptor complex,15,0
12/26 juxtaparanode region of axon,2.257720265,0
31/100 neuron projection terminus,3.237208226,0
51/137 extracellular matrix component,8.945433015,0
309/826 chromosomal part,15,1
267/878 mitochondrial part,14.99999737,1
521/1727 cytoskeletal part,14.99998925,1
295/1146 cytoplasmic vesicle part,8.415174363,0
182/581 ciliary part,6.383262411,1
40/111 axoneme part,5.616012442,1
53/205 contractile fiber part,4.906378348,0
256/888 nucleoplasm part,15,1
44/133 nucleolar part,8.247758875,1
128/354 nuclear chromosome part,15,1
55/168 mitochondrial membrane part,10.24101422,1
313/1034 synapse part,15,0
7/14 nuclear pore nuclear basket,3.408818046,1
45/120 plasma membrane raft,5.208419424,0
7/17 pronucleus,2.664220454,1
124/339 membrane region,14.73690559,0
42/103 apical part of cell,2.113289958,0
229/817 synapse,15,0
90/272 postsynaptic membrane,9.422523656,0
4/21 presynaptic active zone membrane,2.874204057,0
14/59 DNA-directed RNA polymerase complex,2.354271606,1
3/5 cortical granule,2.190415139,0
4/9 sperm head,2.121017844,0
198/617 extracellular matrix,15,0
226/746 extracellular organelle,10.93901992,0
21/94 ATPase complex,5.115469718,1
17/42 cell body fiber,7.366657624,0
35/97 catalytic step 2 spliceosome,4.542201914,1
13/27 pi-body,3.991806641,1
4/7 perineuronal net,2.055991579,0
32/83 site of DNA damage,7.949835493,1
125/395 synaptic membrane,14.99994526,0
9/33 INO80-type complex,2.351486523,1
65/214 side of membrane,9.274548307,0
23/54 intrinsic component of mitochondrial membrane,4.257240825,1
391/1388 plasma membrane region,15,0
29/73 Schaffer collateral - CA1 synapse,9.23413568,0
104/255 chromosomal region,2.85530687,1
75/230 presynapse,6.138030287,0
60/208 postsynapse,6.706590088,0
315/1042 membrane protein complex,12.94575087,0
170/495 plasma membrane protein complex,15,0
51/185 mitochondrial protein complex,14.71720184,1
6/15 outer mitochondrial membrane protein complex,2.446664014,1
20/87 inner mitochondrial membrane protein complex,3.847817475,1
58/151 plasma membrane receptor complex,14.88207008,0
304/1191 whole membrane,2.3090956,0
42/176 actin-based cell projection,4.627023308,0
24/75 cluster of actin-based cell projections,2.232561385,0
5/10 perisynaptic extracellular matrix,2.145215931,0
108/357 glutamatergic synapse,12.95073074,0
27/88 GABA-ergic synapse,6.054686904,0
11/54 neuron to neuron synapse,2.316633652,0
19/91 tethering complex,2.227248876,1
42/118 integral component of postsynaptic membrane,6.209429326,0
42/111 intrinsic component of presynaptic membrane,9.792639599,0
10/42 integral component of postsynaptic specialization membrane,2.148423953,0
54/160 intrinsic component of synaptic membrane,8.388922068,0
67/254 secretory vesicle,4.094222058,0
11/17 chaperone complex,5.668572343,1
487/1703 plasma membrane bounded cell projection part,8.669073803,0
489/1522 catalytic complex,15,1
16/43 GABA receptor complex,9.1372952,0
7/23 GABA-A receptor complex,3.935983578,0
6/23 periciliary membrane compartment,3.242489637,0
31/87 oxidoreductase complex,2.488311445,1
280/867 transferase complex,5.568967658,1
21/66 DNA repair complex,8.79974767,1
9/27 Wnt-Frizzled-LRP5/6 complex,3.464071941,0
288/915 ribonucleoprotein complex,6.928928039,1
9/35 Wnt signalosome,2.730698517,0
216/701 unknown,3.421364049,1
